workerId,pair,rating,event,eventCat,construction
AOTCPS24JM5DQ,6,5.0,supporting,DM,TRA
AOTCPS24JM5DQ,66,4.0,filler,filler,filler
AOTCPS24JM5DQ,2,3.0,lecturing,DC,TRA
AOTCPS24JM5DQ,76,2.0,filler,filler,filler
AOTCPS24JM5DQ,5,6.0,cuddling,PC,TRA
AOTCPS24JM5DQ,82,6.0,filler,filler,filler
AOTCPS24JM5DQ,70,5.0,filler,filler,filler
AOTCPS24JM5DQ,85,4.0,filler,filler,filler
AOTCPS24JM5DQ,71,2.0,filler,filler,filler
AOTCPS24JM5DQ,3,4.0,assuring,DM,INT
AOTCPS24JM5DQ,1,6.0,scolding,DC,INT
AOTCPS24JM5DQ,61,6.0,filler,filler,filler
AOTCPS24JM5DQ,5,6.0,presenting,DC,INT
AOTCPS24JM5DQ,87,3.0,filler,filler,filler
AOTCPS24JM5DQ,63,5.0,filler,filler,filler
AOTCPS24JM5DQ,79,6.0,filler,filler,filler
AOTCPS24JM5DQ,72,6.0,filler,filler,filler
AOTCPS24JM5DQ,83,4.0,filler,filler,filler
AOTCPS24JM5DQ,86,3.0,filler,filler,filler
AOTCPS24JM5DQ,6,3.0,addressing,DC,TRA
AOTCPS24JM5DQ,2,6.0,assisting,DM,TRA
AOTCPS24JM5DQ,69,6.0,filler,filler,filler
AOTCPS24JM5DQ,7,4.0,shaking,PC,TRA
AOTCPS24JM5DQ,62,5.0,filler,filler,filler
AOTCPS24JM5DQ,65,6.0,filler,filler,filler
AOTCPS24JM5DQ,2,6.0,kicking,PC,INT
AOTCPS24JM5DQ,4,2.0,speaking,DC,TRA
AOTCPS24JM5DQ,81,2.0,filler,filler,filler
AOTCPS24JM5DQ,67,4.0,filler,filler,filler
AOTCPS24JM5DQ,1,5.0,kissing,PC,TRA
AOTCPS24JM5DQ,4,5.0,embracing,PC,INT
AOTCPS24JM5DQ,80,6.0,filler,filler,filler
AOTCPS24JM5DQ,3,7.0,hugging,PC,TRA
AOTCPS24JM5DQ,84,4.0,filler,filler,filler
AOTCPS24JM5DQ,64,5.0,filler,filler,filler
AOTCPS24JM5DQ,74,6.0,filler,filler,filler
AOTCPS24JM5DQ,1,6.0,advising,DM,INT
AOTCPS24JM5DQ,78,6.0,filler,filler,filler
AOTCPS24JM5DQ,68,2.0,filler,filler,filler
AOTCPS24JM5DQ,3,3.0,talking,DC,INT
AOTCPS24JM5DQ,4,4.0,encouraging,DM,TRA
AOTCPS24JM5DQ,7,5.0,thanking,DM,INT
AOTCPS24JM5DQ,6,6.0,poking,PC,INT
AOTCPS24JM5DQ,73,6.0,filler,filler,filler
AOTCPS24JM5DQ,5,2.0,recognizing,DM,INT
AOTCPS24JM5DQ,75,2.0,filler,filler,filler
A1S6C6EN8MPKC3,6,1.0,supporting,DM,TRA
A1S6C6EN8MPKC3,66,4.0,filler,filler,filler
A1S6C6EN8MPKC3,2,1.0,lecturing,DC,TRA
A1S6C6EN8MPKC3,76,6.0,filler,filler,filler
A1S6C6EN8MPKC3,5,1.0,cuddling,PC,TRA
A1S6C6EN8MPKC3,82,3.0,filler,filler,filler
A1S6C6EN8MPKC3,70,1.0,filler,filler,filler
A1S6C6EN8MPKC3,85,4.0,filler,filler,filler
A1S6C6EN8MPKC3,71,7.0,filler,filler,filler
A1S6C6EN8MPKC3,3,1.0,assuring,DM,INT
A1S6C6EN8MPKC3,1,1.0,scolding,DC,INT
A1S6C6EN8MPKC3,61,6.0,filler,filler,filler
A1S6C6EN8MPKC3,5,1.0,presenting,DC,INT
A1S6C6EN8MPKC3,87,5.0,filler,filler,filler
A1S6C6EN8MPKC3,63,1.0,filler,filler,filler
A1S6C6EN8MPKC3,79,7.0,filler,filler,filler
A1S6C6EN8MPKC3,72,2.0,filler,filler,filler
A1S6C6EN8MPKC3,83,3.0,filler,filler,filler
A1S6C6EN8MPKC3,86,3.0,filler,filler,filler
A1S6C6EN8MPKC3,6,1.0,addressing,DC,TRA
A1S6C6EN8MPKC3,2,1.0,assisting,DM,TRA
A1S6C6EN8MPKC3,69,1.0,filler,filler,filler
A1S6C6EN8MPKC3,7,1.0,shaking,PC,TRA
A1S6C6EN8MPKC3,62,1.0,filler,filler,filler
A1S6C6EN8MPKC3,65,6.0,filler,filler,filler
A1S6C6EN8MPKC3,2,1.0,kicking,PC,INT
A1S6C6EN8MPKC3,4,1.0,speaking,DC,TRA
A1S6C6EN8MPKC3,81,2.0,filler,filler,filler
A1S6C6EN8MPKC3,67,1.0,filler,filler,filler
A1S6C6EN8MPKC3,1,1.0,kissing,PC,TRA
A1S6C6EN8MPKC3,4,1.0,embracing,PC,INT
A1S6C6EN8MPKC3,80,3.0,filler,filler,filler
A1S6C6EN8MPKC3,3,1.0,hugging,PC,TRA
A1S6C6EN8MPKC3,84,6.0,filler,filler,filler
A1S6C6EN8MPKC3,64,1.0,filler,filler,filler
A1S6C6EN8MPKC3,74,1.0,filler,filler,filler
A1S6C6EN8MPKC3,1,1.0,advising,DM,INT
A1S6C6EN8MPKC3,78,7.0,filler,filler,filler
A1S6C6EN8MPKC3,68,7.0,filler,filler,filler
A1S6C6EN8MPKC3,3,1.0,talking,DC,INT
A1S6C6EN8MPKC3,4,2.0,encouraging,DM,TRA
A1S6C6EN8MPKC3,7,1.0,thanking,DM,INT
A1S6C6EN8MPKC3,6,1.0,poking,PC,INT
A1S6C6EN8MPKC3,73,1.0,filler,filler,filler
A1S6C6EN8MPKC3,5,1.0,recognizing,DM,INT
A1S6C6EN8MPKC3,75,1.0,filler,filler,filler
A3774HPOUKYTX7,6,2.0,supporting,DM,TRA
A3774HPOUKYTX7,66,7.0,filler,filler,filler
A3774HPOUKYTX7,2,1.0,lecturing,DC,TRA
A3774HPOUKYTX7,76,3.0,filler,filler,filler
A3774HPOUKYTX7,5,1.0,cuddling,PC,TRA
A3774HPOUKYTX7,82,2.0,filler,filler,filler
A3774HPOUKYTX7,70,1.0,filler,filler,filler
A3774HPOUKYTX7,85,4.0,filler,filler,filler
A3774HPOUKYTX7,71,3.0,filler,filler,filler
A3774HPOUKYTX7,3,2.0,assuring,DM,INT
A3774HPOUKYTX7,1,3.0,scolding,DC,INT
A3774HPOUKYTX7,61,3.0,filler,filler,filler
A3774HPOUKYTX7,5,4.0,presenting,DC,INT
A3774HPOUKYTX7,87,3.0,filler,filler,filler
A3774HPOUKYTX7,63,2.0,filler,filler,filler
A3774HPOUKYTX7,79,4.0,filler,filler,filler
A3774HPOUKYTX7,72,1.0,filler,filler,filler
A3774HPOUKYTX7,83,3.0,filler,filler,filler
A3774HPOUKYTX7,86,3.0,filler,filler,filler
A3774HPOUKYTX7,6,1.0,addressing,DC,TRA
A3774HPOUKYTX7,2,3.0,assisting,DM,TRA
A3774HPOUKYTX7,69,2.0,filler,filler,filler
A3774HPOUKYTX7,7,3.0,shaking,PC,TRA
A3774HPOUKYTX7,62,2.0,filler,filler,filler
A3774HPOUKYTX7,65,2.0,filler,filler,filler
A3774HPOUKYTX7,2,1.0,kicking,PC,INT
A3774HPOUKYTX7,4,4.0,speaking,DC,TRA
A3774HPOUKYTX7,81,4.0,filler,filler,filler
A3774HPOUKYTX7,67,3.0,filler,filler,filler
A3774HPOUKYTX7,1,3.0,kissing,PC,TRA
A3774HPOUKYTX7,4,2.0,embracing,PC,INT
A3774HPOUKYTX7,80,2.0,filler,filler,filler
A3774HPOUKYTX7,3,3.0,hugging,PC,TRA
A3774HPOUKYTX7,84,3.0,filler,filler,filler
A3774HPOUKYTX7,64,5.0,filler,filler,filler
A3774HPOUKYTX7,74,4.0,filler,filler,filler
A3774HPOUKYTX7,1,3.0,advising,DM,INT
A3774HPOUKYTX7,78,3.0,filler,filler,filler
A3774HPOUKYTX7,68,4.0,filler,filler,filler
A3774HPOUKYTX7,3,2.0,talking,DC,INT
