workerId,ID,pairID,count,event,eventCat,construction,sentence
AKG7VBOY97HKA,50,6,50.0,supporting,DM,TRA,
AKG7VBOY97HKA,58,66,1.0,filler,filler,filler,
AKG7VBOY97HKA,24,2,1.0,lecturing,DC,TRA,
AKG7VBOY97HKA,68,76,10.0,filler,filler,filler,
AKG7VBOY97HKA,12,5,1.0,cuddling,PC,TRA,
AKG7VBOY97HKA,74,82,10.0,filler,filler,filler,
AKG7VBOY97HKA,62,70,1.0,filler,filler,filler,
AKG7VBOY97HKA,77,85,5.0,filler,filler,filler,
AKG7VBOY97HKA,63,71,1.0,filler,filler,filler,
AKG7VBOY97HKA,39,3,1.0,assuring,DM,INT,
AKG7VBOY97HKA,19,1,1.0,scolding,DC,INT,
AKG7VBOY97HKA,53,61,10.0,filler,filler,filler,
AKG7VBOY97HKA,29,5,1.0,presenting,DC,INT,
AKG7VBOY97HKA,79,87,15.0,filler,filler,filler,
AKG7VBOY97HKA,55,63,10.0,filler,filler,filler,
AKG7VBOY97HKA,71,79,15.0,filler,filler,filler,
AKG7VBOY97HKA,64,72,5.0,filler,filler,filler,
AKG7VBOY97HKA,75,83,50.0,filler,filler,filler,
AKG7VBOY97HKA,78,86,60.0,filler,filler,filler,
AKG7VBOY97HKA,32,6,1.0,addressing,DC,TRA,
AKG7VBOY97HKA,38,2,25.0,assisting,DM,TRA,
AKG7VBOY97HKA,61,69,2.0,filler,filler,filler,
AKG7VBOY97HKA,16,7,2.0,shaking,PC,TRA,
AKG7VBOY97HKA,54,62,15.0,filler,filler,filler,
AKG7VBOY97HKA,57,65,10.0,filler,filler,filler,
AKG7VBOY97HKA,3,2,2.0,kicking,PC,INT,
AKG7VBOY97HKA,28,4,1.0,speaking,DC,TRA,
AKG7VBOY97HKA,73,81,3.0,filler,filler,filler,
AKG7VBOY97HKA,59,67,50.0,filler,filler,filler,
AKG7VBOY97HKA,2,1,2.0,kissing,PC,TRA,
AKG7VBOY97HKA,9,4,2.0,embracing,PC,INT,
AKG7VBOY97HKA,72,80,3.0,filler,filler,filler,
AKG7VBOY97HKA,6,3,2.0,hugging,PC,TRA,
AKG7VBOY97HKA,76,84,4.0,filler,filler,filler,
AKG7VBOY97HKA,56,64,50.0,filler,filler,filler,
AKG7VBOY97HKA,66,74,5.0,filler,filler,filler,
AKG7VBOY97HKA,35,1,15.0,advising,DM,INT,
AKG7VBOY97HKA,70,78,2.0,filler,filler,filler,
AKG7VBOY97HKA,60,68,2.0,filler,filler,filler,
AKG7VBOY97HKA,25,3,2.0,talking,DC,INT,
AKG7VBOY97HKA,42,4,2.0,encouraging,DM,TRA,
AKG7VBOY97HKA,21,7,2.0,thanking,DM,INT,
AKG7VBOY97HKA,13,6,2.0,poking,PC,INT,
AKG7VBOY97HKA,65,73,5.0,filler,filler,filler,
AKG7VBOY97HKA,47,5,2.0,recognizing,DM,INT,
AKG7VBOY97HKA,67,75,50.0,filler,filler,filler,
AKG7VBOY97HKA,69,77,50.0,filler,filler,filler,
A38IXDI5371P7Z,50,6,2.0,supporting,DM,TRA,
A38IXDI5371P7Z,58,66,3.0,filler,filler,filler,
A38IXDI5371P7Z,24,2,1.0,lecturing,DC,TRA,
A38IXDI5371P7Z,68,76,2.0,filler,filler,filler,
A38IXDI5371P7Z,12,5,2.0,cuddling,PC,TRA,
A38IXDI5371P7Z,74,82,4.0,filler,filler,filler,
A38IXDI5371P7Z,62,70,1000.0,filler,filler,filler,
A38IXDI5371P7Z,77,85,4.0,filler,filler,filler,
A38IXDI5371P7Z,63,71,2.0,filler,filler,filler,
A38IXDI5371P7Z,39,3,2.0,assuring,DM,INT,
A38IXDI5371P7Z,19,1,2.0,scolding,DC,INT,
A38IXDI5371P7Z,53,61,4.0,filler,filler,filler,
A38IXDI5371P7Z,29,5,2.0,presenting,DC,INT,
A38IXDI5371P7Z,79,87,10.0,filler,filler,filler,
A38IXDI5371P7Z,55,63,3.0,filler,filler,filler,
A38IXDI5371P7Z,71,79,20.0,filler,filler,filler,
A38IXDI5371P7Z,64,72,2.0,filler,filler,filler,
A38IXDI5371P7Z,75,83,60.0,filler,filler,filler,
A38IXDI5371P7Z,78,86,40.0,filler,filler,filler,
A38IXDI5371P7Z,32,6,200.0,addressing,DC,TRA,
A38IXDI5371P7Z,38,2,2.0,assisting,DM,TRA,
A38IXDI5371P7Z,61,69,3.0,filler,filler,filler,
A38IXDI5371P7Z,16,7,2.0,shaking,PC,TRA,
A38IXDI5371P7Z,54,62,100.0,filler,filler,filler,
A38IXDI5371P7Z,57,65,40.0,filler,filler,filler,
A38IXDI5371P7Z,3,2,2.0,kicking,PC,INT,
A38IXDI5371P7Z,28,4,2.0,speaking,DC,TRA,
A38IXDI5371P7Z,73,81,3.0,filler,filler,filler,
A38IXDI5371P7Z,59,67,500.0,filler,filler,filler,
A38IXDI5371P7Z,2,1,2.0,kissing,PC,TRA,
A38IXDI5371P7Z,9,4,2.0,embracing,PC,INT,
